dataset,model,prompt_type,few_shot,background_knowledge,history_signal_type,history_k,variable,value,value_old
,,manual,TRUE,FALSE,semantic-k;bart;recent-k;full,,prompt_template,"You are an Automated Chat System :
The task is to give a consistent and engaging response to what the Person1 says based on the summary of the dialog exchange between you and the Person1. Learn from the example below.
Example:
This is a summary of a dialog exchange between you and the Person1:
{0}
Based on the summary of the dialog exchange, give a consistent and engaging response to the following dialogue by the Person1.
Person1:{1} 
Person2:{2}
Now try it yourself.
This is a summary of a dialog exchange between you and the Person1:
{3}
Given the summary of the dialog exchange between Person1 and Person2, give a consistent and engaging response to the following dialog by Person1
Person1:{4}
Person2:","You are an Automated Chat System :
The task is to give a consistent and engaging response to what the User says based on the summary of the dialog exchange between you and the User. Learn from the example below.
Example:
This is a summary of a dialog exchange between you and the User:
{0}
Based on the summary of the dialog exchange, give a consistent and engaging response to the following dialogue by the User.
User:{1} 
Bot:{2}
Now try it yourself.
This is a summary of a dialog exchange between you and the User:
{3}
Given the summary of the dialog exchange between User and Bot, give a consistent and engaging response to the following dialog by User
User:{4}
 Bot:"
,,manual,FALSE,FALSE,semantic-k;bart;recent-k;full,,shorter_prompt_template,"You are an Automated Chat System :
This is a summary of a dialog exchange between Person1 and Person2:
{0}
Given the summary of the dialog exchange between Person1 and Person2, give a consistent and engaging response to the following dialog by Person1.
Person1:{1}
Person2:","You are an Automated Chat System :
This is a summary of a dialog exchange between User and Bot:
{0}
Given the summary of the dialog exchange between User and Bot, give a consistent and engaging response to the following dialog by User.
User:{1}
 Bot:"
,,manual,FALSE,FALSE,none,,current_utterance_short_template,"Give a consistent and engaging response to the following dialog spoken by Person1
Person1:{0}
Person2:","Give a consistent and engaging response to the following dialog spoken by User
User:{0}
 Bot:"
,,manual,TRUE,FALSE,none,,current_utterance_template,"Give a consistent and engaging response to the following dialog spoken by Person1.Learn from the example first.
Person1: {0}
 Person2: {1}
Now try it yourself:
Give a consistent and engaging response to the following dialog spoken by Person1
Person1:{2}
Person2:","Give a consistent and engaging response to the following dialog spoken by User.Learn from the example first.
User: {0}
 Bot: {1}
Now try it yourself:
Give a consistent and engaging response to the following dialog spoken by User
User:{2}
 Bot:"
MSC,,manual,TRUE,TRUE,none,,prompt_template_persona,"You are an Automated Chat System :
Learn from the below example on how to use background details to generate a consistent and engaging response to what Person1 says.
Example:
Here are some background details about Person1:
{1}
Here are some background details about Person2:
{0}
Given the background details of Person1 and Person2, give a consistent and engaging response to the following dialog spoken by Person1.
Person1: {2}
 Person2: {3}
Now try it yourself:
Here are some background details about Person1:
{4}
Here are some background details about Person2:
{5}
Given the background details of Person1 and Person2 , give a consistent and engaging response to the following dialog spoken by Person1
Person1: {6}
Person2:","You are an Automated Chat System :
Learn from the below example on how to use background details to generate a consistent and engaging response to what User says.
Example:
Here are some background details about User:
{1}
Here are some background details about Bot:
{0}
Given the background details of User and Bot, give a consistent and engaging response to the following dialog spoken by User.
User: {2}
 Bot: {3}
Now try it yourself:
Here are some background details about User:
{4}
Here are some background details about Bot:
{5}
Given the background details of User and Bot , give a consistent and engaging response to the following dialog spoken by User
User: {6}
Bot:"
MSC,,manual,FALSE,TRUE,none,,shorter_prompt_template_persona,"You are an Automated Chat System :
Here are some background details about Person1:
{0}
Here are some background details about Person2:
{1}
Given the background details of Person1 and Person2 , give a consistent and engaging response to the following dialog spoken by Person1
Person1: {2}
Person2:","You are an Automated Chat System :
Here are some background details about User:
{0}
Here are some background details about Bot:
{1}
Given the background details of User and Bot , give a consistent and engaging response to the following dialog spoken by User
User: {2}
Bot:"
MSC,,manual,TRUE,TRUE,semantic-k;bart;recent-k;full,,prompt_template_persona_and_summary,"You are an Automated Chat System :
Learn from the below example on how to generate consistent and engaging responses between Person1 and Person2 given background details along with summary.
Example:
Here are some background details about Person1:
{1}
Here are some background details about Person2:
{0}
This is a summary of a dialog exchange between Person1 and Person2:
{2}
Given the background details and the summary of the dialog exchange between Person1 and Person2, give a consistent and engaging response to the following dialog by Person1.
Person1:{3}
 Person2:{4}
Now try it yourself:
Here are some background details about Person1:
{5}
Here are some background details about Person2:
{6}
This is a summary of a dialog exchange between Person1 and Person2:
{7}
Given the summary of the dialog exchange between Person1 and Person2 and their background details, give a consistent and engaging response to the following dialog spoken by Person1
Person1:{8}
Person2:","You are an Automated Chat System :
Learn from the below example on how to generate consistent and engaging responses between User and Bot given background details along with summary.
Example:
Here are some background details about User:
{1}
Here are some background details about Bot:
{0}
This is a summary of a dialog exchange between User and Bot:
{2}
Given the background details and the summary of the dialog exchange between User and Bot, give a consistent and engaging response to the following dialog by User.
User:{3}
 Bot:{4}
Now try it yourself:
Here are some background details about User:
{5}
Here are some background details about Bot:
{6}
This is a summary of a dialog exchange between User and Bot:
{7}
Given the summary of the dialog exchange between User and Bot and their background details, give a consistent and engaging response to the following dialog spoken by User
User:{8}"
MSC,,manual,FALSE,TRUE,semantic-k;bart;recent-k;full,,shorter_prompt_template_persona_and_summary,"You are an Automated Chat System :
Here are some background details about Person1:
{0}
Here are some background details about Person2:
{1}
This is a summary of a dialog exchange between Person1 and Person2:
{2}
Given the background details and the summary of the dialog exchange between Person1 and Person2, give a consistent and engaging response to the following dialog by Person1
Person1:{3}
Person2:","You are an Automated Chat System :
Here are some background details about User:
{0}
Here are some background details about Bot:
{1}
This is a summary of a dialog exchange between User and Bot:
{2}
Given the background details and the summary of the dialog exchange between User and Bot, give a consistent and engaging response to the following dialog by User
User:{3}"
TC,,manual,FALSE,TRUE,none,,shorter_prompt_template_onlyknowledge,"You are an Automated Chat System :
Here is some data on the topics Person1 and Person2 are discussing about:
{0}
Based on the information about the topics being discussed by Person1 and Person2 , give a consistent and engaging response to the following dialog spoken by Person1
Person1: {1}
Person2:","You are an Automated Chat System :
Here is some data on the topics User and Bot are discussing about:
{0}
Based on the information about the topics being discussed by User and Bot , give a consistent and engaging response to the following dialog spoken by User
User: {1}
Bot:"
TC,,manual,TRUE,TRUE,none,,prompt_template_onlyknowledge,"You are an Automated Chat System :
Learn from the below example on how to use information about the topics being discussed by Person1 and Person2 to generate a suitable response by Person2 on what Person1 says. 
Example:
Here is some infomation about the topics Person1 and Person2 are discussing about:
{0}
Based on the above information, give a suitable response to the following dialog spoken by Person1.
Person1:{1} Person2:
{2}
Now try it yourself:
Here is some information about the topics being discussed by Person1 and Person2:
{3}
Given the information about the topics being discussed by Person1 and Person2 , give a consistent and engaging response to the following dialog spoken by Person1
Person1: {4}
Person2:","You are an Automated Chat System :
Learn from the below example on how to use information about the topics being discussed by User and Bot to generate a suitable response by Bot on what User says. 
Example:
Here is some infomation about the topics User and Bot are discussing about:
{0}
Based on the above information, give a suitable response to the following dialog spoken by User.
User:{1} Bot:
{2}
Now try it yourself:
Here is some information about the topics being discussed by User and Bot:
{3}
Given the information about the topics being discussed by User and Bot , give a consistent and engaging response to the following dialog spoken by User
User: {4}
Bot:"
